,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
213,72.0,MORGAN Max,,00:53.852,02:11.111,02:56.827,03:49.551,04:21.105,00:53.852,01:17.259,00:45.716,00:52.724,00:31.554,3.95,79,5.33,66,5.027,76,5.377,72,3.187,70,3.95,79,8.968,69,13.995,73,19.08,73,21.351,72
216,73.0,GARLICKI Stefan,SOLID REVERSE FACTORY RACING,00:53.663,02:11.238,02:56.418,03:49.563,04:21.213,00:53.663,01:17.575,00:45.180,00:53.145,00:31.650,3.761,72,5.646,70,4.491,75,5.798,75,3.283,73,3.761,72,9.095,70,13.586,70,19.092,74,21.459,73
219,74.0,RIESCO Forrest,,00:52.680,02:16.636,03:01.136,03:51.016,04:21.800,00:52.680,01:23.956,00:44.500,00:49.880,00:30.784,2.778,58,12.027,80,3.811,66,2.533,29,2.417,66,2.778,58,14.493,81,18.304,80,20.545,77,22.046,74
222,75.0,KNISS Warren,,00:53.718,02:12.390,02:57.109,03:51.194,04:22.784,00:53.718,01:18.672,00:44.719,00:54.085,00:31.590,3.816,75,6.743,78,4.03,67,6.738,77,3.223,71,3.816,75,10.247,76,14.277,74,20.723,78,23.03,75
225,76.0,NEETHLING Andrew,POLYGON UR,00:51.874,02:08.992,02:53.262,03:45.467,04:23.078,00:51.874,01:17.118,00:44.270,00:52.205,00:37.611,1.972,37,5.189,64,3.581,56,4.858,65,9.244,77,1.972,37,6.849,53,10.43,54,14.996,59,23.324,76
228,77.0,CHAPUIS Maxime,,00:53.305,02:10.740,02:55.667,03:54.835,04:25.003,00:53.305,01:17.435,00:44.927,00:59.168,00:30.168,3.403,67,5.506,68,4.238,72,11.821,81,1.801,43,3.403,67,8.597,67,12.835,68,24.364,79,25.249,77
231,78.0,BEER Matthew,,00:52.397,02:08.432,02:52.278,03:43.938,04:31.379,00:52.397,01:16.035,00:43.846,00:51.660,00:47.441,2.495,53,4.106,42,3.157,43,4.313,57,19.074,82,2.495,53,6.289,49,9.446,46,13.467,48,31.625,78
234,79.0,HAMILTON Louis,,00:53.687,02:11.617,02:58.647,03:50.855,04:35.708,00:53.687,01:17.930,00:47.030,00:52.208,00:44.853,3.785,74,6.001,75,6.341,79,4.861,66,16.486,80,3.785,74,9.474,73,15.815,79,20.384,76,35.954,79
237,80.0,VERGIER Loris,SPECIALIZED GRAVITY POWERED BY SRAM,00:50.105,02:15.206,03:08.335,04:05.643,04:44.661,00:50.105,01:25.101,00:53.129,00:57.308,00:39.018,0.203,2,13.172,81,12.44,82,9.961,80,10.651,79,0.203,2,13.063,80,25.503,81,35.172,81,44.907,80
240,81.0,MCDOWALL Kirk,,00:52.863,02:09.116,02:57.386,04:03.296,04:49.820,00:52.863,01:16.253,00:48.270,01:05.910,00:46.524,2.961,62,4.324,48,7.581,81,18.563,82,18.157,81,2.961,62,6.973,54,14.554,76,32.825,80,50.066,81
243,82.0,MASTERS Wyn,GT FACTORY RACING,00:52.834,03:22.399,04:10.186,05:02.508,05:40.672,00:52.834,02:29.565,00:47.787,00:52.322,00:38.164,2.932,61,77.636,82,7.098,80,4.975,67,9.797,78,2.932,61,80.256,82,87.354,82,92.037,82,100.918,82
