,Name,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
49,JACKSON Eliot,00:54.861,01:39.715,02:23.073,03:13.950,03:47.686,00:54.861,00:44.854,00:43.358,00:50.877,00:33.736,2.772,33,5.986,64,4.6,59,4.127,34,2.811,58,2.772,33,8.758,56,12.103,58,16.23,49,19.0,50
50,RUFFIN Thibaut,00:54.734,01:38.714,02:21.876,03:14.411,03:47.778,00:54.734,00:43.980,00:43.162,00:52.535,00:33.367,2.645,31,5.112,57,4.404,52,5.785,64,2.442,46,2.645,31,7.757,39,10.906,45,16.691,50,19.092,51
51,RUFFIN Gaetan,00:54.713,01:39.213,02:22.923,03:14.547,03:47.980,00:54.713,00:44.500,00:43.710,00:51.624,00:33.433,2.624,28,5.632,59,4.952,68,4.874,51,2.508,47,2.624,28,8.256,46,11.953,56,16.827,52,19.294,52
52,JONES Michael,00:57.699,01:43.932,02:26.274,03:15.262,03:48.053,00:57.699,00:46.233,00:42.342,00:48.988,00:32.791,5.61,78,7.365,77,3.584,31,2.238,9,1.866,26,5.61,78,12.975,79,15.304,73,17.542,56,19.367,53
53,PEAT Steve,00:55.459,01:38.838,02:20.918,03:13.634,03:48.172,00:55.459,00:43.379,00:42.080,00:52.716,00:34.538,3.37,44,4.511,41,3.322,23,5.966,66,3.613,73,3.37,44,7.881,42,9.948,32,15.914,47,19.486,54
54,GRUBER Manuel,00:56.338,01:41.573,02:23.981,03:15.757,03:48.697,00:56.338,00:45.235,00:42.408,00:51.776,00:32.940,4.249,65,6.367,67,3.65,33,5.026,56,2.015,29,4.249,65,10.616,66,13.011,61,18.037,58,20.011,55
55,COLOMBO Francesco,00:54.116,01:39.517,02:22.297,03:14.760,03:48.868,00:54.116,00:45.401,00:42.780,00:52.463,00:34.108,2.027,18,6.533,68,4.022,45,5.713,62,3.183,65,2.027,18,8.56,50,11.327,49,17.04,54,20.182,56
56,FAIRCLOUGH Brendan,00:55.054,01:43.441,02:26.216,03:16.015,03:49.050,00:55.054,00:48.387,00:42.775,00:49.799,00:33.035,2.965,37,9.519,81,4.017,44,3.049,18,2.11,34,2.965,37,12.484,75,15.246,72,18.295,59,20.364,57
57,POMBO Emanuel,00:55.861,01:38.807,02:22.340,03:14.816,03:49.401,00:55.861,00:42.946,00:43.533,00:52.476,00:34.585,3.772,51,4.078,34,4.775,63,5.726,63,3.66,74,3.772,51,7.85,40,11.37,51,17.096,55,20.715,58
58,WRIGHT Keegan,00:56.580,01:41.170,02:24.038,03:15.440,03:49.538,00:56.580,00:44.590,00:42.868,00:51.402,00:34.098,4.491,69,5.722,60,4.11,47,4.652,43,3.173,64,4.491,69,10.213,64,13.068,62,17.72,57,20.852,59
59,MUDD Graeme,00:56.715,01:43.147,02:24.178,03:17.128,03:49.544,00:56.715,00:46.432,00:41.031,00:52.950,00:32.416,4.626,71,7.564,78,2.273,8,6.2,68,1.491,19,4.626,71,12.19,73,13.208,63,19.408,62,20.858,60
60,CAROLI Jerome,00:56.322,01:41.734,02:25.403,03:17.472,03:51.041,00:56.322,00:45.412,00:43.669,00:52.069,00:33.569,4.233,63,6.544,69,4.911,67,5.319,59,2.644,54,4.233,63,10.777,68,14.433,68,19.752,63,22.355,61
