,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
120,41.0,LEVESQUE Dylan,,01:14.120,01:59.183,02:20.996,02:52.869,03:24.919,01:14.120,00:45.063,00:21.813,00:31.873,00:32.050,7.367,61,3.112,31,2.248,55,3.743,35,2.701,43,7.367,61,10.479,53,12.332,52,16.075,44,15.788,41
123,42.0,PEAT Steve,SANTA CRUZ SYNDICATE,01:12.545,01:57.459,02:19.081,02:53.089,03:25.239,01:12.545,00:44.914,00:21.622,00:34.008,00:32.150,5.792,45,2.963,27,2.057,50,5.878,61,2.801,46,5.792,45,8.755,40,10.417,39,16.295,46,16.108,42
126,43.0,ESTAQUE Thomas,LAC BLANC COMMENCAL,01:11.485,01:57.152,02:17.900,02:48.246,03:25.765,01:11.485,00:45.667,00:20.748,00:30.346,00:37.519,4.732,30,3.716,47,1.183,13,2.216,14,8.17,73,4.732,30,8.448,34,9.236,30,11.452,23,16.634,43
129,44.0,THIRION Remi,COMMENCAL / VALLNORD,01:11.467,01:57.193,02:19.794,02:52.971,03:25.908,01:11.467,00:45.726,00:22.601,00:33.177,00:32.937,4.714,29,3.775,50,3.036,69,5.047,54,3.588,53,4.714,29,8.489,35,11.13,44,16.177,45,16.777,44
132,45.0,MULALLY Neko,GSTAAD-SCOTT,01:11.957,01:57.060,02:18.558,02:54.857,03:25.917,01:11.957,00:45.103,00:21.498,00:36.299,00:31.060,5.204,36,3.152,33,1.933,44,8.169,75,1.711,23,5.204,36,8.356,33,9.894,35,18.063,52,16.786,45
135,46.0,FISCHBACH Johannes,RADON MAGURA FACTORY,01:14.297,02:00.586,02:21.848,02:54.860,03:26.811,01:14.297,00:46.289,00:21.262,00:33.012,00:31.951,7.544,64,4.338,58,1.697,34,4.882,51,2.602,36,7.544,64,11.882,59,13.184,56,18.066,53,17.68,46
138,47.0,POMBO Emanuel,,01:12.996,01:58.984,02:20.415,02:55.291,03:27.037,01:12.996,00:45.988,00:21.431,00:34.876,00:31.746,6.243,47,4.037,53,1.866,42,6.746,66,2.397,30,6.243,47,10.28,50,11.751,47,18.497,55,17.906,47
141,48.0,COMETTI Luca,INTENSE FACTORY RACING,01:13.760,01:59.790,02:22.158,02:53.929,03:27.747,01:13.760,00:46.030,00:22.368,00:31.771,00:33.818,7.007,57,4.079,55,2.803,64,3.641,33,4.469,62,7.007,57,11.086,56,13.494,58,17.135,50,18.616,48
144,49.0,DICKSON Jacob,,01:14.398,02:00.915,02:22.826,02:55.526,03:27.839,01:14.398,00:46.517,00:21.911,00:32.700,00:32.313,7.645,65,4.566,60,2.346,57,4.57,45,2.964,49,7.645,65,12.211,64,14.162,62,18.732,56,18.708,49
147,50.0,BEER Nick,RADON MAGURA FACTORY,01:12.533,01:59.687,02:21.514,02:54.894,03:27.860,01:12.533,00:47.154,00:21.827,00:33.380,00:32.966,5.78,44,5.203,67,2.262,56,5.25,59,3.617,54,5.78,44,10.983,55,12.85,53,18.1,54,18.729,50
