,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
102,35.0,KERR Bernard,PIVOT FACTORY RACING,01:29.809,02:17.565,03:14.826,03:39.218,04:28.432,01:29.809,00:47.756,00:57.261,00:24.392,00:49.214,0.413,3,2.349,20,2.436,33,1.543,21,9.882,75,0.413,3,2.762,7,5.198,9,6.526,8,14.821,35
105,36.0,BRANNIGAN George,COMMENCAL / VALLNORD,01:31.548,02:19.776,03:19.054,03:45.436,04:28.759,01:31.548,00:48.228,00:59.278,00:26.382,00:43.323,2.152,17,2.821,34,4.453,60,3.533,61,3.991,46,2.152,17,4.973,21,9.426,36,12.744,39,15.148,36
108,37.0,DICKSON Jacob,,01:34.082,02:23.467,03:22.518,03:46.806,04:28.882,01:34.082,00:49.385,00:59.051,00:24.288,00:42.076,4.686,57,3.978,59,4.226,57,1.439,20,2.744,29,4.686,57,8.664,57,12.89,57,14.114,46,15.271,37
111,38.0,MARIN TRILLO Alex,GIANT FACTORY OFF-ROAD TEAM,01:31.917,02:20.354,03:18.049,03:42.992,04:28.888,01:31.917,00:48.437,00:57.695,00:24.943,00:45.896,2.521,25,3.03,43,2.87,41,2.094,36,6.564,70,2.521,25,5.551,26,8.421,28,10.3,27,15.277,38
114,39.0,MASTERS Wyn,GT FACTORY RACING,01:33.343,02:22.549,03:21.018,03:46.098,04:29.298,01:33.343,00:49.206,00:58.469,00:25.080,00:43.200,3.947,42,3.799,56,3.644,51,2.231,40,3.868,45,3.947,42,7.746,50,11.39,48,13.406,43,15.687,39
117,40.0,COLOMBO Francesco,AB DEVINCI ITALY,01:35.206,02:23.153,03:21.550,03:47.073,04:29.339,01:35.206,00:47.947,00:58.397,00:25.523,00:42.266,5.81,70,2.54,27,3.572,50,2.674,48,2.934,30,5.81,70,8.35,53,11.922,52,14.381,48,15.728,40
120,41.0,SMITH Joseph,CHAIN REACTION CYCLES / PAYPAL,01:32.751,02:21.110,03:19.735,03:45.648,04:29.403,01:32.751,00:48.359,00:58.625,00:25.913,00:43.755,3.355,36,2.952,38,3.8,53,3.064,54,4.423,53,3.355,36,6.307,36,10.107,39,12.956,42,15.792,41
123,42.0,KOLB Andreas,,01:34.640,02:22.844,03:21.036,03:46.998,04:29.426,01:34.640,00:48.204,00:58.192,00:25.962,00:42.428,5.244,64,2.797,33,3.367,49,3.113,55,3.096,35,5.244,64,8.041,51,11.408,49,14.306,47,15.815,42
126,43.0,LUCAS Dean,INTENSE FACTORY RACING,01:31.818,02:20.318,03:20.909,03:45.631,04:29.986,01:31.818,00:48.500,01:00.591,00:24.722,00:44.355,2.422,23,3.093,45,5.766,71,1.873,29,5.023,61,2.422,23,5.515,25,11.281,46,12.939,41,16.375,43
129,44.0,PEAT Steve,SANTA CRUZ SYNDICATE,01:34.552,02:23.994,03:22.109,03:47.566,04:31.060,01:34.552,00:49.442,00:58.115,00:25.457,00:43.494,5.156,61,4.035,60,3.29,46,2.608,45,4.162,51,5.156,61,9.191,61,12.481,55,14.874,49,17.449,44
