,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
144,49.0,LUKASIK Slawomir,,01:01.937,03:19.851,03:48.991,04:26.730,04:55.607,01:01.937,02:17.914,00:29.140,00:37.739,00:28.877,2.303,24,14.097,67,2.022,56,2.951,54,1.441,7,2.303,24,15.116,58,17.06,57,19.857,57,20.006,49
147,50.0,FAYOLLE Alexandre,POLYGON UR,01:05.152,03:18.508,03:47.081,04:25.140,04:55.759,01:05.152,02:13.356,00:28.573,00:38.059,00:30.619,5.518,72,9.539,47,1.455,29,3.271,59,3.183,52,5.518,72,13.773,53,15.15,50,18.267,51,20.158,50
150,51.0,DICKERSON Bryn,,01:03.459,03:21.015,03:49.865,04:26.662,04:55.990,01:03.459,02:17.556,00:28.850,00:36.797,00:29.328,3.825,59,13.739,66,1.732,39,2.009,26,1.892,13,3.825,59,16.28,64,17.934,59,19.789,54,20.389,51
153,52.0,CHAPUIS Maxime,,01:03.195,03:20.475,03:49.544,04:26.708,04:56.168,01:03.195,02:17.280,00:29.069,00:37.164,00:29.460,3.561,52,13.463,64,1.951,55,2.376,31,2.024,17,3.561,52,15.74,61,17.613,58,19.835,56,20.567,52
156,53.0,MCGLONE Fraser,NORCO FACTORY RACING,01:03.464,03:18.169,03:47.552,04:25.095,04:56.471,01:03.464,02:14.705,00:29.383,00:37.543,00:31.376,3.83,60,10.888,56,2.265,60,2.755,51,3.94,64,3.83,60,13.434,52,15.621,51,18.222,49,20.87,53
159,54.0,CAROLI Jerome,,01:05.203,03:19.541,03:47.987,04:26.667,04:56.965,01:05.203,02:14.338,00:28.446,00:38.680,00:30.298,5.569,73,10.521,55,1.328,26,3.892,67,2.862,44,5.569,73,14.806,57,16.056,53,19.794,55,21.364,54
162,55.0,ROPELATO Mitch,,01:02.316,03:21.731,03:50.719,04:27.889,04:58.336,01:02.316,02:19.415,00:28.988,00:37.170,00:30.447,2.682,34,15.598,68,1.87,51,2.382,33,3.011,48,2.682,34,16.996,67,18.788,62,21.016,58,22.735,55
165,56.0,MEARS Scott,,01:03.637,03:20.741,03:50.763,04:29.520,04:59.673,01:03.637,02:17.104,00:30.022,00:38.757,00:30.153,4.003,63,13.287,62,2.904,68,3.969,69,2.717,39,4.003,63,16.006,62,18.832,63,22.647,61,24.072,56
168,57.0,COUGOUREUX Benoit,LES GETS-INTENSE TEAM,01:04.851,03:21.002,03:49.987,04:27.905,04:59.683,01:04.851,02:16.151,00:28.985,00:37.918,00:31.778,5.217,70,12.334,60,1.867,50,3.13,56,4.342,67,5.217,70,16.267,63,18.056,60,21.032,59,24.082,57
171,58.0,ZABJEK Jure,UNIOR TOOLS TEAM,01:02.733,03:19.897,03:51.111,04:29.562,05:00.164,01:02.733,02:17.164,00:31.214,00:38.451,00:30.602,3.099,42,13.347,63,4.096,74,3.663,65,3.166,51,3.099,42,15.162,59,19.18,64,22.689,62,24.563,58
